rank,selector,model,mean_cv_score,std_cv_score,params
1,EmbeddedDTSelector,RandomForestClassifier,0.73368,0.00073,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 384, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 11, 'selector__soglia': 'median'}"
2,MutualInfoSelector,RandomForestClassifier,0.73347,0.00073,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 4, 'model__n_estimators': 217, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 36}"
3,AllFeaturesSelector,RandomForestClassifier,0.73333,0.00095,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 356, 'selector': AllFeaturesSelector()}"
4,AllFeaturesSelector,RandomForestClassifier,0.73299,0.00104,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 3, 'model__n_estimators': 103, 'selector': AllFeaturesSelector()}"
5,ReliefFSelector,RandomForestClassifier,0.73214,0.00053,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 135, 'selector': ReliefFSelector(verbose=False), 'selector__k': 32, 'selector__n_neighbors': 6, 'selector__n_samples': 500}"
6,AllFeaturesSelector,RandomForestClassifier,0.73202,0.00089,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 6, 'model__n_estimators': 358, 'selector': AllFeaturesSelector()}"
7,ReliefFSelector,RandomForestClassifier,0.73199,0.0011,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 4, 'model__n_estimators': 363, 'selector': ReliefFSelector(verbose=False), 'selector__k': 28, 'selector__n_neighbors': 18, 'selector__n_samples': 2000}"
8,ReliefFSelector,RandomForestClassifier,0.73194,0.00066,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 2, 'model__n_estimators': 387, 'selector': ReliefFSelector(verbose=False), 'selector__k': 37, 'selector__n_neighbors': 19, 'selector__n_samples': 1000}"
9,ReliefFSelector,RandomForestClassifier,0.73184,0.00121,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 6, 'model__n_estimators': 154, 'selector': ReliefFSelector(verbose=False), 'selector__k': 33, 'selector__n_neighbors': 12, 'selector__n_samples': 2000}"
10,MutualInfoSelector,RandomForestClassifier,0.73151,0.00065,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 260, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 20}"
11,MutualInfoSelector,RandomForestClassifier,0.73135,0.00149,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 9, 'model__n_estimators': 390, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 34}"
